AAPL,2020-11-22,118.64,118.77,117.29,117.34,73604200
ABBV,2020-11-22,99.95,101.83,98.62,100.84,9684787
ABT,2020-11-22,110.74,111.76,110.07,110.89,4075245
ACN,2020-11-22,243.95,246,242.25,243.44,1771895
ADBE,2020-11-22,465.16,470,462.36,462.92,1851100
AIG,2020-11-22,38.65,38.86,38,38.61,5572862
ALL,2020-11-22,100.35,101.73,99.92,100.18,1817888
AMGN,2020-11-22,223.22,225.09,221.48,223.17,2956200
AMT,2020-11-22,238.19,238.43,232.5,232.66,1965888
AMZN,2020-11-22,3117.02,3132.89,3098.04,3099.4,3380100
AXP,2020-11-22,113.74,114.54,111.9,112.58,3702955
BA,2020-11-22,204.59,206.58,199.17,199.62,18230882
BAC,2020-11-22,26.74,26.94,26.63,26.81,40537950
BIIB,2020-11-22,243.87,246.47,243,244.15,1334800
BK,2020-11-22,37.73,38.1,37.52,37.88,6106349
BKNG,2020-11-22,2017.6,2036.52,1987.84,1992.77,307700
BLK,2020-11-22,674.02,675.75,669,672.71,396240
BMY,2020-11-22,61.85,62.33,61.4,61.61,8305175
C,2020-11-22,51.83,52.11,51.19,51.65,15478491
CAT,2020-11-22,172.45,173.12,171.31,172.23,2450417
CHTR,2020-11-22,651.31,663.07,647.5,655.41,1163700
CL,2020-11-22,85.52,86.41,85.12,85.16,3719522
CMCSA,2020-11-22,49.28,49.68,49.1,49.17,19830000
COF,2020-11-22,84.43,85.07,83.03,83.58,3454329
COP,2020-11-22,39.31,39.93,39.14,39.65,12037985
COST,2020-11-22,383.95,385.5,381.01,381.12,1809400
CRM,2020-11-22,263.59,265.02,257.82,258.04,7289605
CSCO,2020-11-22,41.05,41.39,40.92,40.97,19778900
CVS,2020-11-22,65.9,66.87,65.82,66.39,8825118
CVX,2020-11-22,85.72,86.31,84.88,85.79,8296993
DD,2020-11-22,61.9,62.75,61.73,62.55,2721720
DHR,2020-11-22,225.67,227.54,224.12,225.76,2353100
